id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,primary_title,start_year,genres
3,2015,Everest,65000000,"$43,482,270",221297061,156297061,Everest,2015,Biography/Historical
52,2010,Shutter Island,80000000,"$128,012,934",299461782,219461782,Shutter Island,2010,Horror
96,2018,Creed II,50000000,"$115,715,889",213591522,163591522,Creed II,2018,Drama
21,2014,Dracula Untold,70000000,"$55,991,880",220241723,150241723,Dracula Untold,2014,Drama
77,2014,Into the Woods,56200000,"$128,002,372",213116401,156916401,Into the Woods,2014,Dramedy
28,2011,I Am Number Four,50000000,"$55,100,437",146195159,96195159,I Am Number Four,2011,Action/Adventure
51,2011,Paranormal Activity 3,5000000,"$104,028,807",207039844,202039844,Paranormal Activity 3,2011,Horror
35,2013,The Heat,43000000,"$159,581,587",229727774,186727774,The Heat,2013,Crime/Mystery
68,2014,Fury,80000000,"$85,817,906",210315681,130315681,Fury,2014,Drama
92,2013,Captain Phillips,55000000,"$107,136,417",220648184,165648184,Captain Phillips,2013,Biography/Historical
55,2015,Ted 2,68000000,"$81,476,385",217214143,149214143,Ted 2,2015,Comedy
1,2014,Mr. Peabody & Sherman,145000000,"$111,506,430",269806430,124806430,Mr. Peabody & Sherman,2014,Family/Animation
50,2010,Salt,130000000,"$118,311,368",290650494,160650494,Salt,2010,Action/Thriller
62,2010,Yogi Bear,80000000,"$100,246,011",204774690,124774690,Yogi Bear,2010,Family/Animation
43,2018,Christopher Robin,75000000,"$99,215,042",197504758,122504758,Christopher Robin,2018,Family/Animation
68,2012,Jack Reacher,60000000,"$80,070,736",217370736,157370736,Jack Reacher,2012,Action/Thriller
2,2014,The Other Woman,40000000,"$83,911,193",195111193,155111193,The Other Woman,2014,Comedy
73,2012,Lincoln,65000000,"$182,207,973",273346281,208346281,Lincoln,2012,Biography/Historical
4,2012,Resident Evil: Retribution,65000000,"$42,345,531",240647629,175647629,Resident Evil: Retribution,2012,Horror
99,2016,Bad Moms,20000000,"$113,257,297",180998716,160998716,Bad Moms,2016,Comedy
28,2016,Sausage Party,19000000,"$97,670,358",141344255,122344255,Sausage Party,2016,Family/Animation
76,2012,The Bourne Legacy,125000000,"$113,203,870",280355920,155355920,The Bourne Legacy,2012,Action/Thriller
65,2010,Paranormal Activity 2,3000000,"$84,752,907",177512032,174512032,Paranormal Activity 2,2010,Horror
59,2017,Baby Driver,34000000,"$107,825,862",228104185,194104185,Baby Driver,2017,Crime/Mystery
65,2017,The Hitman's Bodyguard,30000000,"$75,468,583",172778667,142778667,The Hitman's Bodyguard,2017,Action/Thriller
96,2014,The Equalizer,55000000,"$101,530,738",192903624,137903624,The Equalizer,2014,Action/Thriller
89,2012,Dark Shadows,150000000,"$79,727,149",238202668,88202668,Dark Shadows,2012,Comedy
13,2010,Gulliver's Travels,112000000,"$42,779,261",232017848,120017848,Gulliver's Travels,2010,Family/Animation
80,2016,London Has Fallen,60000000,"$62,524,260",195194085,135194085,London Has Fallen,2016,Action/Thriller
94,2017,John Wick: Chapter 2,40000000,"$92,029,184",171350009,131350009,John Wick: Chapter 2,2017,Action/Thriller
34,2010,Grown Ups,75000000,"$162,001,186",272223430,197223430,Grown Ups,2010,Comedy
68,2016,The Girl on the Train,45000000,"$75,395,035",174278214,129278214,The Girl on the Train,2016,Crime/Mystery
91,2011,Limitless,27000000,"$79,249,455",155564919,128564919,Limitless,2011,Action/Thriller
26,2012,American Reunion,50000000,"$56,758,835",236799211,186799211,American Reunion,2012,Comedy
32,2012,Battleship,220000000,"$65,233,400",313477717,93477717,Battleship,2012,Action/Adventure
29,2010,True Grit,35000000,"$171,243,005",252276928,217276928,True Grit,2010,Drama
59,2012,Silver Linings Playbook,21000000,"$132,092,958",236412453,215412453,Silver Linings Playbook,2012,Dramedy
35,2015,Straight Outta Compton,28000000,"$161,197,785",202182981,174182981,Straight Outta Compton,2015,Biography/Historical
6,2015,The Intern,40000000,"$75,764,672",197115710,157115710,The Intern,2015,Dramedy
35,2010,Predators,40000000,"$52,000,688",127234389,87234389,Predators,2010,Action/Adventure
27,2012,Argo,44500000,"$136,025,503",227140757,182640757,Argo,2012,Biography/Historical
64,2011,The Muppets,45000000,"$88,625,922",160971922,115971922,The Muppets,2011,Family/Animation
5,2011,The Descendants,20000000,"$82,624,961",175507800,155507800,The Descendants,2011,Dramedy
36,2018,Dragon Ball Super: Broly,8500000,"$30,376,755",122747755,114247755,Dragon Ball Super: Broly,2018,Family/Animation
70,2014,Need for Speed,66000000,"$43,568,507",194169619,128169619,Need for Speed,2014,Action/Thriller
79,2012,Total Recall,125000000,"$58,877,969",211856088,86856088,Total Recall,2012,Action/Adventure
96,2014,RoboCop,120000000,"$58,607,007",242981799,122981799,RoboCop,2014,Action/Thriller
37,2013,The Secret Life of Walter Mitty,91000000,"$58,236,838",187861183,96861183,The Secret Life of Walter Mitty,2013,Dramedy
27,2014,The Grand Budapest Hotel,31000000,"$59,076,019",163981261,132981261,The Grand Budapest Hotel,2014,Comedy
82,2014,Unbroken,65000000,"$115,637,895",163527824,98527824,Unbroken,2014,Biography/Historical
18,2013,12 Years a Slave,20000000,"$56,671,993",181025343,161025343,12 Years a Slave,2013,Biography/Historical
45,2013,Lee Daniels' The Butler,30000000,"$116,632,095",177025498,147025498,Lee Daniels' The Butler,2013,Biography/Historical
91,2015,Creed,37000000,"$109,767,581",173567581,136567581,Creed,2015,Drama
15,2016,Storks,70000000,"$72,679,278",183353431,113353431,Storks,2016,Family/Animation
91,2010,The Social Network,40000000,"$96,962,694",224922135,184922135,The Social Network,2010,Biography/Historical
64,2010,The Book of Eli,80000000,"$94,835,059",158750817,78750817,The Book of Eli,2010,Action/Adventure
74,2011,In Time,35000000,"$37,553,932",165103952,130103952,In Time,2011,Crime/Mystery
32,2013,Identity Thief,35000000,"$134,506,920",175361578,140361578,Identity Thief,2013,Comedy
99,2017,Geostorm,100000000,"$33,700,160",220796009,120796009,Geostorm,2017,Action/Thriller
21,2018,The Equalizer 2,77000000,"$102,084,362",190453132,113453132,The Equalizer 2,2018,Action/Thriller
92,2013,Anchorman 2: The Legend Continues,50000000,"$127,352,707",172185754,122185754,Anchorman 2: The Legend Continues,2013,Comedy
17,2016,Hacksaw Ridge,40000000,"$67,209,615",168904682,128904682,Hacksaw Ridge,2016,Biography/Historical
27,2013,Hansel & Gretel: Witch Hunters,50000000,"$55,703,475",214949716,164949716,Hansel & Gretel: Witch Hunters,2013,Horror
100,2018,The Mule,50000000,"$103,804,407",170857676,120857676,The Mule,2018,Drama
99,2015,Focus,65000000,"$53,862,963",168065700,103065700,Focus,2015,Dramedy
69,2016,The 5th Wave,38000000,"$34,912,982",111336398,73336398,The 5th Wave,2016,Action/Adventure
64,2013,Percy Jackson: Sea of Monsters,90000000,"$68,559,554",200859554,110859554,Percy Jackson: Sea of Monsters,2013,Family/Animation
29,2011,Rango,135000000,"$123,477,607",245724600,110724600,Rango,2011,Family/Animation
91,2016,Pete's Dragon,65000000,"$76,233,151",137768975,72768975,Pete's Dragon,2016,Action/Adventure
55,2016,The Magnificent Seven,90000000,"$93,432,655",162525156,72525156,The Magnificent Seven,2016,Action/Adventure
84,2018,The Predator,88000000,"$51,024,708",159487563,71487563,The Predator,2018,Action/Adventure
86,2017,A Dog's Purpose,25000000,"$64,321,890",203671625,178671625,A Dog's Purpose,2017,Dramedy
70,2010,Valentine's Day,52000000,"$110,485,654",217569328,165569328,Valentine's Day,2010,Comedy
3,2013,Bad Grandpa,15000000,"$102,003,019",160903019,145903019,Bad Grandpa,2013,Comedy
52,2012,Act of Valor,12000000,"$70,012,847",82497035,70497035,Act of Valor,2012,Action/Adventure
26,2016,Alice Through the Looking Glass,170000000,"$77,042,381",276928112,106928112,Alice Through the Looking Glass,2016,Family/Animation
84,2010,Due Date,65000000,"$100,539,043",211739043,146739043,Due Date,2010,Comedy
34,2016,Allegiant,110000000,"$66,184,051",172022517,62022517,Allegiant,2016,Action/Adventure
14,2014,The Monuments Men,70000000,"$78,031,620",158702748,88702748,The Monuments Men,2014,Dramedy
96,2014,The Expendables 3,100000000,"$39,322,544",209461378,109461378,The Expendables 3,2014,Action/Thriller
45,2018,Insidious: The Last Key,10000000,"$67,745,330",167885588,157885588,Insidious: The Last Key,2018,Horror
53,2013,Insidious: Chapter 2,5000000,"$83,586,447",161921515,156921515,Insidious: Chapter 2,2013,Horror
66,2013,Riddick,38000000,"$42,025,135",94763758,56763758,Riddick,2013,Action/Adventure
84,2013,Lone Survivor,40000000,"$125,095,601",149804632,109804632,Lone Survivor,2013,Biography/Historical
10,2015,Bridge of Spies,40000000,"$72,313,754",162498338,122498338,Bridge of Spies,2015,Drama
95,2011,The Grey,25000000,"$51,580,136",81249176,56249176,The Grey,2011,Action/Adventure
24,2014,Planes: Fire & Rescue,50000000,"$59,157,732",156399644,106399644,Planes: Fire & Rescue,2014,Family/Animation
99,2012,Safe House,85000000,"$126,181,630",208542162,123542162,Safe House,2012,Crime/Mystery
100,2016,The Accountant,40000000,"$86,260,045",152962083,112962083,The Accountant,2016,Crime/Mystery
44,2012,21 Jump Street,42000000,"$138,447,667",202812429,160812429,21 Jump Street,2012,Crime/Mystery
42,2012,The Vow,30000000,"$125,014,030",197618160,167618160,The Vow,2012,Drama
83,2011,Midnight in Paris,30000000,"$56,816,662",162502774,132502774,Midnight in Paris,2011,Comedy
39,2016,Don't Breathe,10000000,"$89,217,875",158973685,148973685,Don't Breathe,2016,Horror
58,2015,Goosebumps,58000000,"$80,069,458",158905324,100905324,Goosebumps,2015,Family/Animation
20,2015,Ip Man 3,36000000,"$2,679,437",157300954,121300954,Ip Man 3,2015,Biography/Historical
67,2010,Eat Pray Love,60000000,"$80,574,010",206598789,146598789,Eat Pray Love,2010,Drama
60,2016,Lion,12000000,"$51,739,495",149570720,137570720,Lion,2016,Biography/Historical
55,2016,Lights Out,5000000,"$67,268,835",148806510,143806510,Lights Out,2016,Horror
